symbol,name,market_cap,ipo_year,sector,industry,exchange
CRHM,CRH Medical Corporation,$227.07M,2015.0,health_care,Medical/Dental Instruments,AMEX
CTEK,"CynergisTek, Inc.",$45.77M,2017.0,miscellaneous,Business Services,AMEX
DXR,Daxor Corporation,$54.07M,,health_care,Medical/Dental Instruments,AMEX
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",$66.12M,1993.0,,,AMEX
VFL,Delaware Investments Florida Insured Municipal Income Fund,$55.6M,1993.0,,,AMEX
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",$140.71M,1993.0,,,AMEX
DLA,"Delta Apparel, Inc.",$138.32M,,consumer_non_durables,Apparel,AMEX
DNN,Denison Mine Corp,$291.64M,,basic_industries,Precious Metals,AMEX
DGSE,"DGSE Companies, Inc.",$11.58M,,consumer_services,Consumer Specialties,AMEX
DSS,"Document Security Systems, Inc.",$15.3M,,consumer_durables,Containers/Packaging,AMEX
DPW,"DPW Holdings, Inc.",$7.92M,,capital_goods,Industrial Machinery/Components,AMEX
DMF,"Dreyfus Municipal Income, Inc.",$162.86M,1988.0,,,AMEX
DXF,Dunxin Financial Holdings Limited,$58.75M,,consumer_non_durables,Apparel,AMEX
GRF,"Eagle Capital Growth Fund, Inc.",$26.84M,,,,AMEX
EVM,Eaton Vance California Municipal Bond Fund,$263.97M,2002.0,,,AMEX
CEV,Eaton Vance California Municipal Income Trust,$82.32M,1999.0,,,AMEX
EVV,Eaton Vance Limited Duration Income Fund,$1.42B,2003.0,,,AMEX
MMV,Eaton Vance Massachusetts Municipal Income Trust,$34.76M,1999.0,,,AMEX
EIM,Eaton Vance Municipal Bond Fund,$822.03M,2002.0,,,AMEX
EIV,Eaton Vance Municipal Bond Fund II,$113.45M,2002.0,,,AMEX
EMJ,Eaton Vance New Jersey Municipal Bond Fund,$31.1M,2002.0,,,AMEX
EVJ,Eaton Vance New Jersey Municipal Income Trust,$53.34M,1999.0,,,AMEX
ENX,Eaton Vance New York Municipal Bond Fund,$204.74M,2002.0,,,AMEX
EVY,Eaton Vance New York Municipal Income Trust,$65M,1999.0,,,AMEX
EIO,Eaton Vance Ohio Municipal Bond Fund,$29.82M,2002.0,,,AMEX
EVO,Eaton Vance Ohio Municipal Income Trust,$36.03M,1999.0,,,AMEX
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,$34.87M,2002.0,,,AMEX
EVP,Eaton Vance Pennsylvania Municipal Income Trust,$29.83M,1999.0,,,AMEX
ELMD,"Electromed, Inc.",$41.77M,2011.0,health_care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,AMEX
ELLO,Ellomay Capital Ltd.,$91.92M,,public_utilities,Electric Utilities: Central,AMEX
ECF,Ellsworth Growth and Income Fund Ltd.,$115.64M,1986.0,,,AMEX
ECF^A,Ellsworth Growth and Income Fund Ltd.,,,,,AMEX
EMAN,eMagin Corporation,$41.72M,,technology,Semiconductors,AMEX
MSN,Emerson Radio Corporation,$30.91M,,consumer_non_durables,Consumer Electronics/Appliances,AMEX
EMX,EMX Royalty Corporation,$90.16M,,basic_industries,Precious Metals,AMEX
UUUU,Energy Fuels Inc,$260.94M,,basic_industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX
UUUU.WS,Energy Fuels Inc,,,,,AMEX
ENSV,ENSERVCO Corporation,$26.14M,,energy,Oilfield Services/Equipment,AMEX
ESNC,"EnSync, Inc.",$13.16M,,public_utilities,Electric Utilities: Central,AMEX
EGI,Entree Resources Ltd.,$73.07M,2017.0,basic_industries,Precious Metals,AMEX
ESP,Espey Mfg. & Electronics Corp.,$61.94M,,capital_goods,Industrial Machinery/Components,AMEX
EVBN,"Evans Bancorp, Inc.",$159.9M,,finance,Major Banks,AMEX
EVI,"EVI Industries, Inc.",$383.05M,,consumer_services,Other Consumer Services,AMEX
EPM,"Evolution Petroleum Corporation, Inc.",$246.69M,,energy,Oil & Gas Production,AMEX
FEN,First Trust Energy Income and Growth Fund,$422.67M,2004.0,,,AMEX
BDL,"Flanigan&#39;s Enterprises, Inc.",$46.47M,,consumer_services,Restaurants,AMEX
FSI,Flexible Solutions International Inc.,$16.4M,,basic_industries,Major Chemicals,AMEX
FTF,Franklin Limited Duration Income Trust,$283.91M,2003.0,,,AMEX
FSP,Franklin Street Properties Corp.,$732.39M,,consumer_services,Real Estate Investment Trusts,AMEX
FRD,Friedman Industries Inc.,$56.22M,,capital_goods,Steel/Iron Ore,AMEX
FTNW,"FTE Networks, Inc.",$44.04M,,public_utilities,Telecommunications Equipment,AMEX
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",$542.7M,2005.0,,,AMEX
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",,,,,AMEX
JOB,GEE Group Inc.,$15.35M,,technology,Diversified Commercial Services,AMEX
GMO,"General Moly, Inc",$33.69M,,basic_industries,Precious Metals,AMEX
GSB,"GlobalSCAPE, Inc.",$82.29M,,technology,Computer Software: Prepackaged Software,AMEX
GSAT,"Globalstar, Inc.",$887.47M,2006.0,consumer_services,Telecommunications Equipment,AMEX
GLOW,"Glowpoint, Inc.",$6.08M,,public_utilities,Telecommunications Equipment,AMEX
GORO,Gold Resource Corporation,$247.04M,,basic_industries,Precious Metals,AMEX
GSV,Gold Standard Ventures Corporation,$329.96M,,basic_industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX
AUMN,Golden Minerals Company,$30.12M,,basic_industries,Precious Metals,AMEX
GSS,"Golden Star Resources, Ltd",$360.15M,,basic_industries,Precious Metals,AMEX
GV,Goldfield Corporation (The),$67.7M,,basic_industries,Water Supply,AMEX
GDP,Goodrich Petroleum Corporation,$176.42M,2017.0,energy,Oil & Gas Production,AMEX
GTE,Gran Tierra Energy Inc.,$947.04M,,energy,Oil & Gas Production,AMEX
GPL,Great Panther Silver Limited,$105.91M,,basic_industries,Precious Metals,AMEX
SIM,"Grupo Simec, S.A. de C.V.",$1.63B,1993.0,basic_industries,Steel/Iron Ore,AMEX
HEB,"Hemispherx BioPharma, Inc.",$10.7M,,health_care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
HLM^,Hillman Group Capital Trust,,,,,AMEX
HMG,"HMG/Courtland Properties, Inc.",$13.26M,,consumer_services,Real Estate Investment Trusts,AMEX
HUSA,Houston American Energy Corporation,$12.6M,,energy,Oil & Gas Production,AMEX
IBIO,"iBio, Inc.",$16.82M,,health_care,Major Pharmaceuticals,AMEX
IBO,IBO (Listing Market - NYSE Amex Network B F),,,,,AMEX
IEC,IEC Electronics Corp.,$73.63M,,technology,Electrical Products,AMEX
IMH,"Impac Mortgage Holdings, Inc.",$91.44M,1997.0,consumer_services,Real Estate Investment Trusts,AMEX
IMO,Imperial Oil Limited,$21.67B,,energy,Integrated oil Companies,AMEX
IOR,"Income Opportunity Realty Investors, Inc.",$45.85M,,consumer_services,Real Estate Investment Trusts,AMEX
INFU,"InfuSystems Holdings, Inc.",$66.74M,,health_care,Medical/Dental Instruments,AMEX
IHT,InnSuites Hospitality Trust,$16.27M,,consumer_services,Real Estate Investment Trusts,AMEX
NSPR,InspireMD Inc.,$6.2M,,health_care,Medical/Dental Instruments,AMEX
NSPR.WS,InspireMD Inc.,,,,,AMEX
NSPR.WS.B,InspireMD Inc.,,,,,AMEX
IDN,"Intellicheck, Inc.",$38.47M,1999.0,technology,Computer Software: Prepackaged Software,AMEX
INS,Intelligent Systems Corporation,$175.74M,1992.0,technology,Computer Software: Prepackaged Software,AMEX
THM,International Tower Hill Mines Ltd,$97.22M,,basic_industries,Precious Metals,AMEX
INTT,inTest Corporation,$78.15M,1997.0,capital_goods,Electrical Products,AMEX
INUV,"Inuvo, Inc",$43.96M,,consumer_services,Advertising,AMEX
VKI,Invesco Advantage Municipal Income Trust II,$455.9M,,,,AMEX
ISR,"IsoRay, Inc.",$26.8M,,health_care,Medical/Dental Instruments,AMEX
ISDR,Issuer Direct Corporation,$49.02M,,miscellaneous,Publishing,AMEX
ITP,"IT Tech Packaging, Inc.",$14.07M,,consumer_durables,Containers/Packaging,AMEX
KIQ,Kelso Technologies Inc,$25.67M,,capital_goods,Railroads,AMEX
LTS,Ladenburg Thalmann Financial Services Inc,$439.86M,,finance,Investment Bankers/Brokers/Service,AMEX
LTS^A,Ladenburg Thalmann Financial Services Inc,,,,,AMEX
LTSK,Ladenburg Thalmann Financial Services Inc,,2018.0,finance,Investment Bankers/Brokers/Service,AMEX
LTSL,Ladenburg Thalmann Financial Services Inc,,2017.0,finance,Investment Bankers/Brokers/Service,AMEX
LTSF,Ladenburg Thalmann Financial Services Inc.,,2018.0,finance,Investment Bankers/Brokers/Service,AMEX
LEVB,"Level Brands, Inc.",$42.91M,2017.0,consumer_non_durables,Package Goods/Cosmetics,AMEX
LGL,"LGL Group, Inc. (The)",$33.29M,,capital_goods,Industrial Machinery/Components,AMEX
LBY,"Libbey, Inc.",$106.75M,1993.0,capital_goods,Industrial Machinery/Components,AMEX
LLEX,"Lilis Energy, Inc.",$128.11M,,energy,Oil & Gas Production,AMEX
LIQT,"LiqTech International, Inc.",$147.27M,,technology,Industrial Machinery/Components,AMEX
MAG,MAG Silver Corporation,$679.18M,,basic_industries,Precious Metals,AMEX
MJCO,Majesco,$274.99M,2015.0,technology,Computer Software: Prepackaged Software,AMEX
MHH,"Mastech Digital, Inc",$74.58M,,consumer_services,Professional Services,AMEX
MTNB,"Matinas Biopharma Holdings, Inc.",$119.13M,2017.0,health_care,Major Pharmaceuticals,AMEX
MNI,McClatchy Company (The),$59.23M,1988.0,consumer_services,Newspapers/Magazines,AMEX
IPB,"Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificate",,,finance,Finance: Consumer Services,AMEX
MXC,Mexco Energy Corporation,$7.41M,,energy,Oil & Gas Production,AMEX
CCA,MFS California Insured Municipal Trust,$29.23M,1999.0,,,AMEX
MICR,"Micron Solutions, Inc.",$7.8M,,health_care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,AMEX
MLSS,"Milestone Scientific, Inc.",$12.87M,2015.0,health_care,Industrial Specialties,AMEX
MYO,Myomo Inc.,$21.76M,2017.0,health_care,Industrial Specialties,AMEX
NNVC,"NanoViricides, Inc.",$18.38M,,health_care,Biotechnology: Commercial Physical & Biological Resarch,AMEX
ATEST,NASDAQ TEST STOCK,,,,,AMEX
ATEST.A,NASDAQ TEST STOCK,,,,,AMEX
ATEST.B,NASDAQ TEST STOCK,,,,,AMEX
ATEST.C,NASDAQ TEST STOCK,,,,,AMEX
NHC,National HealthCare Corporation,$1.16B,,health_care,Hospital/Nursing Management,AMEX
NAVB,"Navidea Biopharmaceuticals, Inc.",$24.3M,,health_care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,AMEX
NTIP,"Network-1 Technologies, Inc.",$61.05M,,miscellaneous,Multi-Sector Companies,AMEX
NBW,Neuberger Berman California Municipal Fund Inc,$69.46M,2002.0,,,AMEX
NHS,Neuberger Berman High Yield Strategies Fund,$201.07M,,,,AMEX
NML,Neuberger Berman MLP Income Fund Inc.,$425.51M,2013.0,,,AMEX
NBH,Neuberger Berman Municipal Fund Inc.,$250.09M,2002.0,,,AMEX
NBO,Neuberger Berman New York Municipal Fund Inc.,$58.79M,2002.0,,,AMEX
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc.",$210.54M,2003.0,,,AMEX
UWN,"Nevada Gold & Casinos, Inc.",$43.53M,,consumer_services,Services-Misc. Amusement & Recreation,AMEX
NSU,Nevsun Resources Ltd,$1.4B,,basic_industries,Precious Metals,AMEX
GBR,"New Concept Energy, Inc",$9.34M,,energy,Oil & Gas Production,AMEX
NEN,New England Realty Associates Limited Partnership,$220.16M,,consumer_services,Building operators,AMEX
NGD,New Gold Inc.,$608.07M,,basic_industries,Precious Metals,AMEX
NXE,Nexgen Energy Ltd.,$625.2M,,basic_industries,Precious Metals,AMEX
HLTH,Nobilis Health Corp.,$34.75M,2015.0,health_care,Hospital/Nursing Management,AMEX
NAK,"Northern Dynasty Minerals, Ltd.",$216.88M,,basic_industries,Precious Metals,AMEX
NOG,"Northern Oil and Gas, Inc.",$1.01B,,energy,Oil & Gas Production,AMEX
NBY,"NovaBay Pharmaceuticals, Inc.",$18.63M,2007.0,health_care,Major Pharmaceuticals,AMEX
NG,Novagold Resources Inc.,$1.21B,,basic_industries,Precious Metals,AMEX
NRCG,NRC Group Holdings Corp.,$334.34M,2017.0,basic_industries,Environmental Services,AMEX
NRCG.WS,NRC Group Holdings Corp.,,,,,AMEX
NTN,"NTN Buzztime, Inc.",$9.94M,,consumer_services,Broadcasting,AMEX
NES,"Nuverra Environmental Solutions, Inc.",$163.18M,2017.0,energy,Oilfield Services/Equipment,AMEX
OCX,OncoCyte Corporation,$69.54M,2015.0,health_care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,AMEX
OGEN,Oragenics Inc.,$28.99M,,health_care,Major Pharmaceuticals,AMEX
TIS,Orchids Paper Products Company,$13.44M,2005.0,basic_industries,Paper,AMEX
ORM,"Owens Realty Mortgage, Inc.",$173.81M,2013.0,consumer_services,Real Estate Investment Trusts,AMEX
PCG^A,Pacific Gas & Electric Co.,,,,,AMEX
PCG^B,Pacific Gas & Electric Co.,,,,,AMEX
PCG^C,Pacific Gas & Electric Co.,,,,,AMEX
PCG^D,Pacific Gas & Electric Co.,,,,,AMEX
PCG^E,Pacific Gas & Electric Co.,,,,,AMEX
PCG^G,Pacific Gas & Electric Co.,,,,,AMEX
PCG^H,Pacific Gas & Electric Co.,,,,,AMEX
PCG^I,Pacific Gas & Electric Co.,,,,,AMEX
PTN,"Palatin Technologies, Inc.",$146.37M,,health_care,Major Pharmaceuticals,AMEX
PZG,Paramount Gold Nevada Corp.,$23.18M,2015.0,basic_industries,Precious Metals,AMEX
PRK,Park National Corporation,$1.47B,,finance,Major Banks,AMEX
PED,Pedevco Corp.,$23.38M,,energy,Oil & Gas Production,AMEX
PFNX,Pfenex Inc.,$123.96M,2014.0,health_care,Major Pharmaceuticals,AMEX
HNW,Pioneer Diversified High Income Trust,$112.91M,2007.0,,,AMEX
PLAG,Planet Green Holdings Corp,$11850.3,,consumer_non_durables,Packaged Foods,AMEX
PLG,Platinum Group Metals Ltd.,$41.36M,,basic_industries,Precious Metals,AMEX
PLYM,"Plymouth Industrial REIT, Inc.",$67.02M,2017.0,consumer_services,Real Estate Investment Trusts,AMEX
PLYM^A,"Plymouth Industrial REIT, Inc.",,,,,AMEX
PLM,Polymet Mining Corp.,$255.43M,,basic_industries,Precious Metals,AMEX
PW,Power REIT,$9.63M,,consumer_services,Real Estate Investment Trusts,AMEX
PW^A,Power REIT,,,,,AMEX
PLX,"Protalix BioTherapeutics, Inc.",$59.07M,,health_care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
RLGT,"Radiant Logistics, Inc.",$235.43M,,transportation,Oil Refining/Marketing,AMEX
RFL,"Rafael Holdings, Inc.",$159.75M,2018.0,finance,Real Estate,AMEX
UTG,Reaves Utility Income Fund,$1.47B,2004.0,,,AMEX
REED,"Reeds, Inc.",$68.39M,,consumer_non_durables,Beverages (Production/Distribution),AMEX
RHE,"Regional Health Properties, Inc.",$1.95M,2017.0,health_care,Hospital/Nursing Management,AMEX
RHE^A,"Regional Health Properties, Inc.",,,,,AMEX
RCG,"RENN Fund, Inc.",$6.52M,,,,AMEX
RVP,"Retractable Technologies, Inc.",$23.85M,,health_care,Medical/Dental Instruments,AMEX
RNN,"Rexahn Pharmaceuticals, Inc.",$47.28M,,health_care,Major Pharmaceuticals,AMEX
REI,"Ring Energy, Inc.",$373.54M,,energy,Oil & Gas Production,AMEX
RIF,RMR Real Estate Income Fund,$167.21M,,,,AMEX
SACH,Sachem Capital Corp.,$62.84M,2017.0,consumer_services,Real Estate Investment Trusts,AMEX
SNMP,Sanchez Midstream Partners LP,$32.86M,,energy,Oil & Gas Production,AMEX
SAND          ,Sandstorm Gold Ltd,$831.06M,,basic_industries,Precious Metals,AMEX
SEB,Seaboard Corporation,$4.26B,1996.0,finance,Investment Bankers/Brokers/Service,AMEX
SENS,"Senseonics Holdings, Inc.",$456.27M,,capital_goods,Industrial Machinery/Components,AMEX
SVT,"Servotronics, Inc.",$28.41M,,capital_goods,Industrial Machinery/Components,AMEX
SMTS,Sierra Metals Inc.,$317.05M,,basic_industries,Precious Metals,AMEX
SIF,"SIFCO Industries, Inc.",$19.91M,,capital_goods,Aerospace,AMEX
SVM,Silvercorp Metals Inc.,$353.69M,,basic_industries,Precious Metals,AMEX
SILV,SilverCrest Metals Inc.,$249.67M,2018.0,basic_industries,Precious Metals,AMEX
XPL,Solitario Zinc Corp.,$16.23M,,basic_industries,Precious Metals,AMEX
SCE^B,Southern California Edison Company,,,,,AMEX
SCE^C,Southern California Edison Company,,,,,AMEX
SCE^D,Southern California Edison Company,,,,,AMEX
SCE^E,Southern California Edison Company,,,,,AMEX
SGB,Southwest Georgia Financial Corporation,$53.41M,,finance,Major Banks,AMEX
LOV,"Spark Networks, Inc.",$116.23M,2017.0,consumer_services,Other Consumer Services,AMEX
SRCI,SRC Energy Inc.,$1.27B,,energy,Oil & Gas Production,AMEX
SDI,Standard Diversified Inc.,$247.26M,,consumer_non_durables,Tobacco,AMEX
SSY,"SunLink Health Systems, Inc.",$8.53M,,health_care,Hospital/Nursing Management,AMEX
SDPI,"Superior Drilling Products, Inc.",$37.81M,2014.0,energy,Metal Fabrications,AMEX
SYN,"Synthetic Biologics, Inc",$8.06M,,health_care,Major Pharmaceuticals,AMEX
TKAT,"Takung Art Co., Ltd.",$7.75M,,consumer_services,Other Specialty Stores,AMEX
TALO.WS,"Talos Energy, Inc.",,,,,AMEX
TRX,Tanzanian Royalty Exploration Corporation,$41.97M,,basic_industries,Precious Metals,AMEX
TGB,Taseko Mines Limited,$134.64M,,basic_industries,Precious Metals,AMEX
TIK,Tel-Instrument Electronics Corp.,$15.14M,,capital_goods,Electrical Products,AMEX
TGC,"Tengasco, Inc.",$9.67M,,energy,Oil & Gas Production,AMEX
GLU,The Gabelli Global Utility and Income Trust,$71.7M,2004.0,,,AMEX
GLU^A,The Gabelli Global Utility and Income Trust,,,,,AMEX
GLU^B,The Gabelli Global Utility and Income Trust,,,,,AMEX
GGO,The Gabelli Go Anywhere Trust,$23.05M,2016.0,,,AMEX
GGO^A,The Gabelli Go Anywhere Trust,,,,,AMEX
TDW.WS,Tidewater Inc.,,,,,AMEX
TMP,Tompkins Financial Corporation,$1.22B,,finance,Major Banks,AMEX
TAT,Transatlantic Petroleum Ltd,$57.14M,,energy,Oil & Gas Production,AMEX
TRXC,"TransEnterix, Inc.",$590.01M,,health_care,Medical/Dental Instruments,AMEX
TMQ,Trilogy Metals Inc.,$273.7M,,basic_industries,Precious Metals,AMEX
TPHS,Trinity Place Holdings Inc.,$146.53M,,consumer_services,Building operators,AMEX
TRT,Trio-Tech International,$10.57M,,technology,Industrial Machinery/Components,AMEX
UFAB,"Unique Fabricating, Inc.",$55.8M,2015.0,capital_goods,Auto Parts:O.E.M.,AMEX
UAMY,United States Antimony Corporation,$46.37M,,capital_goods,Metal Fabrications,AMEX
UUU,"Universal Security Instruments, Inc.",$2.71M,,consumer_non_durables,Electronic Components,AMEX
UQM,UQM Technologies Inc.,$55.88M,,capital_goods,Industrial Machinery/Components,AMEX
URG,Ur Energy Inc,$108.27M,,basic_industries,Precious Metals,AMEX
UEC,Uranium Energy Corp.,$228.85M,,basic_industries,Precious Metals,AMEX
VHC,VirnetX Holding Corp,$341.82M,,miscellaneous,Multi-Sector Companies,AMEX
VGZ,Vista Gold Corporation,$63.28M,,basic_industries,Precious Metals,AMEX
VNRX,VolitionRX Limited,$81.27M,2015.0,health_care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,AMEX
VISI,"Volt Information Sciences, Inc.",$73.96M,,technology,Professional Services,AMEX
EAD,Wells Fargo Income Opportunities Fund,$519.9M,2003.0,,,AMEX
ERC,Wells Fargo Multi-Sector Income Fund,$383.09M,2003.0,,,AMEX
ERH,Wells Fargo Utilities and High Income Fund,$111.48M,2004.0,,,AMEX
WRN,Western Copper and Gold Corporation,$54.93M,2011.0,basic_industries,Precious Metals,AMEX
WYY,WidePoint Corporation,$36.03M,,technology,EDP Services,AMEX
WTT,"Wireless Telecom Group,  Inc.",$34.32M,,capital_goods,Electrical Products,AMEX
