cor,symbol,name,marketcapital,pettm
-0.11915309,ENR,劲量控股,3025234400,30.82
-0.128289322,CLCT,环球收藏者,119868900,24.96
-0.132079283,APPS,"Digital Turbine, Inc.",164631800,
-0.211653637,QIWI,Qiwi,874384245,16.31
-0.261744923,VHC,VirnetX Holding Corp,368529700,
-0.307861943,ADS,联合数据系统,9243611900,9.91
-0.418244236,TIVO,TiVo Corporation,1384264600,
-0.427623346,LQDT,Liquidity Services,282157100,
-0.490827527,SPEX,Spherix Incorporated,6338600,
-0.518095543,MXWL,Maxwell技术,93702732.84,
-0.522453823,SREV,"ServiceSource International, Inc.",92721600,
-0.533694114,CREG,中国循环能源,7125994.79,1.36
-0.541193641,EGOV,NIC Inc.,919322600,15.69
-0.541562228,QTRH,Quarterhill Inc.,113114200,
-0.541840118,CATM,Cardtronics plc,1360165700,52.68
-0.568923145,GPRO,GoPro,716658690,
-0.585835277,MCHX,"Marchex, Inc. - Class B",140336700,
-0.586618974,ACTG,阿卡西亚,150407100,
-0.628993037,LC,Lending Club,1234125040,
-0.638469877,PFSW,"PFSweb, Inc.",124029900,80.5
-0.672013212,MARA,"Marathon Patent Group, Inc.",9774100,
-0.680408638,BSQR,BSQUARE科技,27725200,
-0.696317114,FCEL,燃料电池能源,22448822.39,
-0.700213555,SCOR,康姆斯克,1001414200,
-0.781690891,NCTY,第九城市,28459446.19,
-0.787140985,IMAX,IMAX Corp.,1320345120,204
-0.816779071,XELB,"Xcel Brands, Inc",25598300,
-0.82478089,REFR,Research Frontiers Incorporated,63069800,
-0.835987963,DBD,迪堡金融设备,300690900,
-0.840003018,KODK,柯达,128347836.7,
-0.87762142,ALJJ,"ALJ Regional Holdings, Inc.",52970800,
-0.878778859,NLSN,尼尔森,8970428500,28.08
-0.895581337,PBI,必能宝,1341491100,5.22
-0.907455387,DHX,戴斯控股,108954300,6.24
